time_ms,mass_flow_rate_kg_per_s
21.950000,2.334525
22.000000,2.326912
22.050000,2.321486
22.100000,2.317119
22.150000,2.314153
22.200000,2.312595
22.250000,2.311787
22.300000,2.310595
22.350000,2.307119
22.400000,2.302530
22.450000,2.297964
22.500000,2.293058
22.550000,2.286984
22.600000,2.281522
22.650000,2.276340
22.700000,2.271088
22.750000,2.265569
22.800000,2.258944
22.850000,2.253515
22.900000,2.250297
22.950000,2.248216
23.000000,2.247539
23.050000,2.249607
23.100000,2.252815
23.150000,2.256391
23.200000,2.259910
23.250000,2.264008
23.300000,2.269068
23.350000,2.274213
23.400000,2.278568
23.450000,2.283238
23.500000,2.287102
23.550000,2.288963
23.600000,2.288056
23.650000,2.287149
23.700000,2.286241
23.750000,2.285334
23.800000,2.284427
23.850000,2.283520
23.900000,2.282613
23.950000,2.281706
24.000000,2.280799
24.050000,2.279891
24.100000,2.278984
24.150000,2.278077
24.200000,2.277170
24.250000,2.276263
24.300000,2.275356
24.350000,2.274448
24.400000,2.273541
24.450000,2.272634
24.500000,2.271727
24.550000,2.270820
24.600000,2.269913
24.650000,2.269006
24.700000,2.268098
24.750000,2.267191
24.800000,2.266284
