time_ms,pressure_mpa
14.65,0.56375
14.7,0.56458
14.75,0.56208
14.8,0.57042
14.85,0.56167
14.9,0.55292
14.95,0.56042
15,0.55792
15.05,0.55167
15.1,0.555
15.15,0.55333
15.2,0.5525
15.25,0.54583
15.3,0.53708
15.35,0.54167
15.4,0.54333
15.45,0.5375
15.5,0.53958
15.55,0.54333
15.6,0.54292
15.65,0.54125
15.7,0.535
15.75,0.53292
15.8,0.53708
15.85,0.53583
15.9,0.53417
15.95,0.54042
16,0.53875
16.05,0.52667
16.1,0.52375
16.15,0.52917
16.2,0.52833
16.25,0.52458
16.3,0.52042
16.35,0.52167
16.4,0.52333
16.45,0.51917
16.5,0.52167
16.55,0.51458
16.6,0.51583
16.65,0.51583
16.7,0.51667
16.75,0.51542
16.8,0.52167
16.85,0.51875
16.9,0.515
16.95,0.51458
17,0.5125
17.05,0.50583
17.1,0.50708
17.15,0.50625
17.2,0.5075
17.25,0.50667
17.3,0.50167
17.35,0.49667
17.4,0.49792
17.45,0.49083
17.5,0.49208
17.55,0.49875
17.6,0.49625
17.65,0.49958
17.7,0.49875
17.75,0.49458
17.8,0.4975
17.85,0.49375
17.9,0.49125
17.95,0.49542
18,0.49583
18.05,0.49167
18.1,0.49167
18.15,0.48875
18.2,0.47917
18.25,0.47958
18.3,0.47417
18.35,0.47708
18.4,0.48208
18.45,0.475
18.5,0.47625
18.55,0.47917
18.6,0.47
18.65,0.47333
18.7,0.47125
18.75,0.47208
18.8,0.475
18.85,0.47458
18.9,0.47333
18.95,0.47625
19,0.4675
19.05,0.46208
19.1,0.465
19.15,0.46375
19.2,0.46208
19.25,0.4625
19.3,0.46
19.35,0.46125
19.4,0.45958
19.45,0.44917
19.5,0.45167
19.55,0.45625
19.6,0.45417
19.65,0.45583
19.7,0.45708
19.75,0.45458
19.8,0.45375
19.85,0.45083
19.9,0.44542
19.95,0.4525
20,0.44958
20.05,0.44583
20.1,0.44917
20.15,0.44625
20.2,0.44542
20.25,0.44042
20.3,0.43208
20.35,0.43625
20.4,0.44
20.45,0.43083
20.5,0.43417
20.55,0.43917
20.6,0.43583
20.65,0.43292
20.7,0.43292
20.75,0.43167
20.8,0.43917
20.85,0.435
20.9,0.43208
20.95,0.4375
21,0.4375
21.05,0.4225
21.1,0.42708
21.15,0.42417
21.2,0.42083
21.25,0.42375
21.3,0.41542
21.35,0.41333
21.4,0.41625
21.45,0.41625
21.5,0.41125
21.55,0.41667
21.6,0.41458
21.65,0.41625
21.7,0.41875
21.75,0.4175
21.8,0.42208
21.85,0.42042
21.9,0.40917
21.95,0.41625
22,0.41375
22.05,0.40708
22.1,0.41083
22.15,0.40833
22.2,0.40708
22.25,0.41
22.3,0.395
22.35,0.4
22.4,0.40333
22.45,0.395
22.5,0.39667
22.55,0.40417
22.6,0.39917
22.65,0.40125
22.7,0.39833
22.75,0.39333
22.8,0.40125
22.85,0.39792
22.9,0.395
22.95,0.40042
23,0.39875
23.05,0.3925
23.1,0.39333
23.15,0.38792
23.2,0.38792
23.25,0.38958
23.3,0.38292
23.35,0.38583
23.4,0.38917
23.45,0.38083
23.5,0.38042
23.55,0.38125
23.6,0.38
23.65,0.3825
23.7,0.38208
23.75,0.38083
23.8,0.38542
23.85,0.38292
23.9,0.38042
23.95,0.38
24,0.37833
24.05,0.37333
24.1,0.37542
24.15,0.3725
24.2,0.37125
24.25,0.3725
24.3,0.36792
24.35,0.365
24.4,0.36833
24.45,0.36208
24.5,0.36375
24.55,0.36792
24.6,0.36292
24.65,0.36917
24.7,0.36875
24.75,0.36833
24.8,0.36583
