17,0.97083
17.05,0.96667
17.1,0.96833
17.15,0.96625
17.2,0.96375
17.25,0.96
17.3,0.95625
17.35,0.95208
17.4,0.95625
17.45,0.9525
17.5,0.94917
17.55,0.9525
17.6,0.95208
17.65,0.94708
17.7,0.94875
17.75,0.94542
17.8,0.94917
17.85,0.95333
17.9,0.94792
17.95,0.9525
18,0.95625
18.05,0.95167
18.1,0.9425
18.15,0.93958
18.2,0.93792
18.25,0.93958
18.3,0.93583
18.35,0.93125
18.4,0.93708
18.45,0.93417
18.5,0.91417
18.55,0.91958
18.6,0.91667
18.65,0.91667
18.7,0.9225
18.75,0.9175
18.8,0.92333
18.85,0.92625
18.9,0.90958
18.95,0.9125
19,0.91667
19.05,0.91083
19.1,0.91417
19.15,0.91125
19.2,0.90833
19.25,0.91208
19.3,0.90792
19.35,0.89292
19.4,0.89875
19.45,0.89458
19.5,0.88917
19.55,0.89667
19.6,0.89292
19.65,0.89
19.7,0.89708
19.75,0.88542
19.8,0.89042
19.85,0.89458
19.9,0.88833
19.95,0.89333
20,0.89875
20.05,0.89167
20.1,0.895
20.15,0.88542
20.2,0.88083
20.25,0.88417
20.3,0.88
20.35,0.87417
20.4,0.88292
20.45,0.87708
20.5,0.87167
20.55,0.875
20.6,0.87
20.65,0.87125
20.7,0.87583
20.75,0.87208
20.8,0.875
20.85,0.88083
20.9,0.8725
20.95,0.87625
21,0.87792
21.05,0.87125
21.1,0.87292
21.15,0.87208
21.2,0.83292
21.25,0.845
21.3,0.83542
21.35,0.4525
21.4,0.35792
21.45,0.42958
21.5,0.51208
21.55,0.31708
21.6,0.28542
21.65,0.26208
21.7,0.23833
21.75,0.21
21.8,0.18833
21.85,0.16542
21.9,0.13375
21.95,0.11125
22,0.090833
22.05,0.0675
22.1,0.05125
22.15,0.031667
22.2,0.0091667
22.25,0.00625
22.3,
